epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3554.12,1.67632,1.3784,1.71466,0.79919,0.7083,0.80676,0.3659,1.64533,0.95302,1.95771,0.00494634,0.00494634,0.00494634
78,3595.87,1.65422,1.36791,1.70038,0.86424,0.75529,0.82284,0.37826,1.68693,0.9398,1.94418,0.00484272,0.00484272,0.00484272
79,3636.8,1.6392,1.37811,1.68852,0.78757,0.78814,0.83307,0.39652,1.66225,0.91968,1.94314,0.00473919,0.00473919,0.00473919
80,3677.66,1.63334,1.36,1.71226,0.8358,0.77646,0.83126,0.41251,1.61906,0.91049,1.88192,0.00463579,0.00463579,0.00463579
81,3718.93,1.65699,1.37991,1.70882,0.76835,0.73084,0.80543,0.38697,1.6871,0.91419,1.98483,0.00453258,0.00453258,0.00453258
82,3757.88,1.67477,1.40139,1.71059,0.79461,0.68853,0.80034,0.38688,1.72584,1.02801,2.00618,0.0044296,0.0044296,0.0044296
83,3798.3,1.63958,1.31244,1.68693,0.79115,0.83471,0.84366,0.39976,1.52146,0.8946,1.87099,0.00432689,0.00432689,0.00432689
84,3840.57,1.70023,1.35869,1.66224,0.81351,0.77634,0.82003,0.38385,1.61758,0.95218,1.98558,0.00422449,0.00422449,0.00422449
85,3881.8,1.58812,1.30114,1.70356,0.83869,0.70501,0.79673,0.38441,1.627,0.90711,1.94737,0.00412246,0.00412246,0.00412246
86,3921.19,1.65335,1.30973,1.68238,0.85173,0.80508,0.84934,0.38735,1.55673,0.87355,1.88832,0.00402084,0.00402084,0.00402084
87,3962.98,1.66212,1.29409,1.66025,0.75166,0.79517,0.79286,0.36271,1.69899,0.96217,1.9692,0.00391966,0.00391966,0.00391966
88,4006.53,1.61611,1.32777,1.68362,0.79837,0.73729,0.8121,0.37518,1.66693,0.88579,1.90413,0.00381899,0.00381899,0.00381899
89,4046.93,1.6179,1.31961,1.67361,0.83925,0.70793,0.79541,0.37875,1.57444,0.86467,1.91081,0.00371885,0.00371885,0.00371885
90,4086.49,1.6527,1.33037,1.67386,0.83062,0.74808,0.82411,0.39311,1.59009,0.90926,1.94497,0.00361929,0.00361929,0.00361929
91,4127.08,1.65603,1.32905,1.65633,0.77439,0.78542,0.8092,0.37319,1.68244,0.85366,2.01388,0.00352037,0.00352037,0.00352037
92,4166.66,1.64257,1.31448,1.64887,0.91904,0.72034,0.83743,0.4037,1.60418,0.8792,1.90485,0.00342211,0.00342211,0.00342211
93,4205.91,1.56566,1.29871,1.68883,0.79627,0.75424,0.80768,0.37965,1.59102,0.91705,1.91983,0.00332457,0.00332457,0.00332457
94,4247.66,1.59329,1.28363,1.64421,0.78955,0.76271,0.81327,0.38177,1.56205,0.9198,1.917,0.00322778,0.00322778,0.00322778
95,4287.67,1.60763,1.31614,1.67256,0.85844,0.71186,0.8171,0.3979,1.58358,0.86575,1.8944,0.0031318,0.0031318,0.0031318
96,4327.54,1.61217,1.26592,1.64269,0.78174,0.78921,0.8455,0.41365,1.55538,0.81704,1.86928,0.00303665,0.00303665,0.00303665
97,4369.14,1.57982,1.28,1.67072,0.78205,0.76025,0.823,0.40798,1.57073,0.84892,1.88987,0.00294239,0.00294239,0.00294239
98,4410.04,1.57298,1.29211,1.6952,0.86179,0.72881,0.8306,0.42496,1.53401,0.81604,1.85909,0.00284906,0.00284906,0.00284906
99,4450.52,1.54771,1.2448,1.6662,0.93253,0.70284,0.83513,0.42076,1.49387,0.81254,1.87054,0.00275668,0.00275668,0.00275668
100,4490.33,1.59255,1.28035,1.62303,0.8788,0.75424,0.84177,0.42648,1.49665,0.85236,1.87296,0.00266532,0.00266532,0.00266532
101,4532.86,1.54065,1.25733,1.66865,0.86941,0.72034,0.81691,0.41713,1.55179,0.81491,1.88524,0.002575,0.002575,0.002575
102,4576,1.57732,1.23973,1.62758,0.82038,0.73542,0.82503,0.41988,1.56346,0.87904,1.91402,0.00248577,0.00248577,0.00248577
103,4616.87,1.54819,1.26097,1.64222,0.84748,0.77966,0.85727,0.42821,1.5117,0.77519,1.86762,0.00239766,0.00239766,0.00239766
104,4656.93,1.60774,1.25385,1.62828,0.87458,0.73729,0.8349,0.40645,1.58373,0.85666,1.88869,0.00231071,0.00231071,0.00231071
105,4696.44,1.58964,1.25851,1.63042,0.84336,0.73004,0.84747,0.42413,1.50296,0.81525,1.84122,0.00222497,0.00222497,0.00222497
106,4736.53,1.55051,1.23876,1.61372,0.9195,0.69492,0.84306,0.42263,1.53802,0.85137,1.87677,0.00214046,0.00214046,0.00214046
107,4778.07,1.5359,1.22114,1.63308,0.90073,0.77966,0.86634,0.42724,1.4841,0.81468,1.82511,0.00205723,0.00205723,0.00205723
108,4817.95,1.58932,1.23102,1.63889,0.89644,0.7336,0.85854,0.43472,1.50088,0.81626,1.81556,0.00197532,0.00197532,0.00197532
109,4857.21,1.53655,1.23302,1.63214,0.91836,0.76261,0.87417,0.42715,1.54217,0.79835,1.82629,0.00189475,0.00189475,0.00189475
110,4898.92,1.53283,1.21218,1.62963,0.82418,0.83898,0.85714,0.41246,1.58562,0.83746,1.86518,0.00181557,0.00181557,0.00181557
111,4940.88,1.55153,1.21244,1.63929,0.87244,0.81147,0.86432,0.42692,1.50929,0.79465,1.86283,0.0017378,0.0017378,0.0017378
112,4983.65,1.54447,1.20347,1.5883,0.83693,0.7829,0.84169,0.42061,1.52443,0.82979,1.86106,0.00166149,0.00166149,0.00166149
113,5026.61,1.47903,1.21235,1.66334,0.91935,0.76271,0.86732,0.42225,1.58956,0.80687,1.89831,0.00158667,0.00158667,0.00158667
114,5066.18,1.5314,1.21283,1.59261,0.91801,0.75907,0.85576,0.41449,1.56317,0.81331,1.87135,0.00151336,0.00151336,0.00151336
115,5106.72,1.49003,1.19111,1.62702,0.90174,0.77119,0.86586,0.42417,1.51829,0.78007,1.84527,0.00144161,0.00144161,0.00144161
116,5147.37,1.55969,1.23537,1.60584,0.92438,0.72881,0.84516,0.42436,1.55547,0.80893,1.91467,0.00137143,0.00137143,0.00137143
117,5188.54,1.60917,1.22253,1.6064,0.84815,0.75735,0.83773,0.41698,1.61481,0.82201,1.97287,0.00130287,0.00130287,0.00130287
118,5229.93,1.58561,1.226,1.62847,0.86816,0.76271,0.84773,0.42207,1.53727,0.80638,1.88392,0.00123596,0.00123596,0.00123596
119,5270.68,1.5024,1.20701,1.61408,0.94492,0.72698,0.85577,0.42463,1.53011,0.84069,1.8493,0.00117072,0.00117072,0.00117072
120,5311.14,1.54882,1.2167,1.62087,0.91815,0.76053,0.84889,0.42644,1.56132,0.80101,1.88383,0.00110718,0.00110718,0.00110718
121,5351.13,1.51076,1.17372,1.60188,0.91334,0.74576,0.8483,0.42923,1.50532,0.81116,1.84651,0.00104537,0.00104537,0.00104537
122,5391.23,1.56483,1.19903,1.57774,0.92873,0.72034,0.84058,0.43485,1.51829,0.82668,1.86726,0.000985311,0.000985311,0.000985311
123,5432.22,1.54792,1.20433,1.62532,0.93066,0.70339,0.83536,0.42927,1.4878,0.82022,1.84366,0.00092704,0.00092704,0.00092704
124,5473.01,1.49436,1.17183,1.6023,0.91175,0.70047,0.83022,0.43475,1.48455,0.8248,1.82837,0.000870577,0.000870577,0.000870577
125,5512.32,1.54656,1.18964,1.58255,0.94349,0.70744,0.84192,0.42742,1.52647,0.79748,1.86734,0.000815947,0.000815947,0.000815947
126,5554.5,1.50533,1.17888,1.63392,0.88319,0.70483,0.81968,0.41463,1.51589,0.82553,1.84869,0.000763174,0.000763174,0.000763174
127,5593.08,1.54034,1.18526,1.55982,0.88657,0.7286,0.82312,0.42442,1.51035,0.82832,1.87039,0.000712282,0.000712282,0.000712282
128,5633.67,1.55119,1.20947,1.59985,0.91336,0.72881,0.83972,0.42291,1.56963,0.82635,1.91502,0.000663292,0.000663292,0.000663292
129,5676.97,1.46211,1.12198,1.63279,0.89085,0.72881,0.85465,0.43056,1.54766,0.80397,1.88335,0.000616227,0.000616227,0.000616227
130,5716.79,1.54605,1.18582,1.57893,0.90096,0.72034,0.83407,0.42859,1.52259,0.81356,1.87087,0.000571106,0.000571106,0.000571106
131,5759.95,1.50188,0.987,1.6494,0.8818,0.75871,0.85642,0.42385,1.5306,0.78963,1.88208,0.00052795,0.00052795,0.00052795
132,5799.92,1.47382,0.9338,1.61684,0.86709,0.77119,0.84484,0.42642,1.53879,0.76995,1.89253,0.000486777,0.000486777,0.000486777
133,5840.42,1.48091,0.93234,1.60221,0.87475,0.77119,0.85925,0.42785,1.50551,0.77128,1.8716,0.000447606,0.000447606,0.000447606
134,5882.44,1.43936,0.89735,1.63224,0.86108,0.77119,0.85008,0.43126,1.47747,0.77282,1.84733,0.000410454,0.000410454,0.000410454
135,5923.77,1.4735,0.9276,1.57895,0.9127,0.75424,0.86297,0.42831,1.48067,0.7537,1.84647,0.000375337,0.000375337,0.000375337
136,5964.88,1.49687,0.93656,1.61861,0.89736,0.76271,0.85786,0.43491,1.4709,0.75066,1.84087,0.00034227,0.00034227,0.00034227
137,6004.99,1.48456,0.92625,1.57684,0.90005,0.7631,0.86228,0.43389,1.48128,0.75674,1.83394,0.000311268,0.000311268,0.000311268
138,6045.29,1.4533,0.91015,1.56103,0.91297,0.75424,0.86168,0.42835,1.50291,0.77223,1.8444,0.000282345,0.000282345,0.000282345
139,6085.37,1.45415,0.88498,1.64414,0.91655,0.74465,0.8603,0.42298,1.51161,0.77374,1.85365,0.000255513,0.000255513,0.000255513
140,6126.47,1.44044,0.89073,1.62409,0.91752,0.75416,0.86482,0.43253,1.49964,0.75638,1.8458,0.000230784,0.000230784,0.000230784
141,6165.81,1.46324,0.93238,1.57493,0.91229,0.75424,0.86782,0.44095,1.48206,0.75656,1.83326,0.000208169,0.000208169,0.000208169
142,6206.68,1.46593,0.92124,1.59492,0.86759,0.77739,0.86913,0.43675,1.46623,0.74312,1.82244,0.000187678,0.000187678,0.000187678
143,6246.53,1.42547,0.89819,1.57067,0.86666,0.77966,0.86531,0.44144,1.4667,0.74556,1.8174,0.00016932,0.00016932,0.00016932
144,6286.88,1.49042,0.89439,1.60137,0.87684,0.78434,0.86902,0.44906,1.47399,0.74774,1.82674,0.000153102,0.000153102,0.000153102
145,6328.19,1.47179,0.88412,1.62212,0.88523,0.78441,0.86684,0.44394,1.47679,0.74877,1.82145,0.000139032,0.000139032,0.000139032
146,6369.7,1.46795,0.9215,1.56028,0.8674,0.78814,0.86398,0.44611,1.49077,0.73572,1.84083,0.000127117,0.000127117,0.000127117
147,6411.05,1.47106,0.91241,1.61869,0.86337,0.78814,0.8667,0.44739,1.48658,0.74114,1.8304,0.00011736,0.00011736,0.00011736
148,6450.14,1.45245,0.87036,1.58608,0.90389,0.77119,0.86353,0.44291,1.48759,0.763,1.82874,0.000109768,0.000109768,0.000109768
149,6487.69,1.42824,0.87671,1.57182,0.89874,0.77119,0.86534,0.44973,1.48103,0.76733,1.83118,0.000104342,0.000104342,0.000104342
150,6531.48,1.41585,0.88452,1.58364,0.86796,0.77993,0.86422,0.4499,1.46558,0.76287,1.82298,0.000101086,0.000101086,0.000101086
