epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,637.334,1.31338,1.09215,1.69078,0.83097,0.77676,0.78645,0.28514,1.16906,0.55903,1.5781,0.0056704,0.0056704,0.0056704
71,645.518,1.29275,1.11796,1.70184,0.77545,0.78947,0.7618,0.25775,1.172,0.62741,1.63253,0.00556742,0.00556742,0.00556742
72,656.091,1.41475,1.19679,1.72617,0.69663,0.63158,0.62577,0.24469,1.16928,0.61986,1.64711,0.00546421,0.00546421,0.00546421
73,663.555,1.35657,1.06062,1.70913,0.59548,0.57895,0.53771,0.17826,1.20464,0.73024,1.64831,0.00536081,0.00536081,0.00536081
74,673.413,1.29454,1.14275,1.72735,0.60935,0.68421,0.57962,0.16462,1.28739,0.58645,1.75439,0.00525728,0.00525728,0.00525728
75,681.184,1.27075,1.0681,1.69931,0.86035,0.64928,0.73271,0.2326,1.20106,0.75458,1.64627,0.00515366,0.00515366,0.00515366
76,690.947,1.32017,1.00102,1.75621,0.72711,0.57895,0.57479,0.18591,1.27484,0.88067,1.84582,0.00505,0.00505,0.00505
77,699.344,1.38042,1.14542,1.72483,0.70934,0.42105,0.42455,0.1335,1.21267,1.34692,1.69111,0.00494634,0.00494634,0.00494634
78,707.834,1.3173,1.06455,1.68977,0.87113,0.73684,0.76878,0.21885,1.29709,0.70171,1.93326,0.00484272,0.00484272,0.00484272
79,717.303,1.27521,1.00419,1.63395,0.86121,0.73684,0.79923,0.25911,1.10597,0.57141,1.61466,0.00473919,0.00473919,0.00473919
80,725.379,1.22586,0.97842,1.67017,0.73939,0.63158,0.68746,0.25444,1.19492,0.81438,1.56951,0.00463579,0.00463579,0.00463579
81,734.999,1.2714,1.0261,1.65547,0.81622,0.73684,0.74303,0.29671,1.12202,0.55322,1.5155,0.00453258,0.00453258,0.00453258
82,742.915,1.22593,1.0327,1.61589,0.74518,0.78947,0.73906,0.3261,1.11432,0.50257,1.51773,0.0044296,0.0044296,0.0044296
83,751.851,1.23962,0.95997,1.67289,0.67913,0.78947,0.65809,0.27259,1.11685,0.48943,1.63678,0.00432689,0.00432689,0.00432689
84,760.065,1.16874,0.97449,1.59235,0.79697,0.68421,0.64915,0.28968,1.13098,0.61225,1.67035,0.00422449,0.00422449,0.00422449
85,769.624,1.18996,0.9334,1.59126,0.85468,0.73684,0.74234,0.29348,1.07602,0.52322,1.53179,0.00412246,0.00412246,0.00412246
86,777.821,1.22227,0.96325,1.61382,0.78056,0.74935,0.75446,0.26864,1.08439,0.555,1.50197,0.00402084,0.00402084,0.00402084
87,787.256,1.23319,1.0323,1.62689,0.78478,0.78947,0.77916,0.32942,1.0701,0.635,1.45404,0.00391966,0.00391966,0.00391966
88,796.32,1.20301,0.99553,1.55381,0.88156,0.84211,0.77705,0.33295,1.00653,0.45675,1.35605,0.00381899,0.00381899,0.00381899
89,804.577,1.21603,0.94175,1.60763,0.69541,0.72156,0.67258,0.33328,1.01454,0.51007,1.39395,0.00371885,0.00371885,0.00371885
90,814.001,1.23779,0.98674,1.64356,0.78909,0.78773,0.72932,0.34529,1.05595,0.4513,1.50087,0.00361929,0.00361929,0.00361929
91,821.925,1.21907,0.93762,1.63167,0.71447,0.84211,0.73565,0.31372,1.0762,0.61076,1.5571,0.00352037,0.00352037,0.00352037
92,831.333,1.14105,0.95748,1.57966,0.88877,0.84114,0.83631,0.34158,1.07932,0.49486,1.47058,0.00342211,0.00342211,0.00342211
93,840.132,1.15821,0.94928,1.61822,0.83913,0.84211,0.80173,0.37134,1.07461,0.51974,1.47936,0.00332457,0.00332457,0.00332457
94,849.33,1.20425,0.92438,1.63354,0.88839,0.83808,0.81083,0.32274,1.07396,0.50371,1.5768,0.00322778,0.00322778,0.00322778
95,858.077,1.1788,0.91497,1.56203,0.83818,0.73684,0.71636,0.3458,1.05108,0.46957,1.53365,0.0031318,0.0031318,0.0031318
96,866.383,1.12027,0.80495,1.51496,0.73433,0.72778,0.68152,0.29691,1.1035,0.74489,1.55466,0.00303665,0.00303665,0.00303665
97,875.349,1.09406,1.61277,1.44398,0.76335,0.57895,0.62349,0.26902,1.20394,0.68847,1.66304,0.00294239,0.00294239,0.00294239
98,884.063,1.16645,0.9974,1.5968,0.66507,0.73179,0.6818,0.32141,1.10825,0.61068,1.59143,0.00284906,0.00284906,0.00284906
99,893.218,1.17401,0.861,1.59284,0.82051,0.78947,0.72026,0.32158,1.08355,0.57574,1.55231,0.00275668,0.00275668,0.00275668
100,901.383,1.17714,0.87601,1.61433,0.76865,0.73684,0.67169,0.32809,1.09134,0.51944,1.63092,0.00266532,0.00266532,0.00266532
101,911.382,1.11662,0.83016,1.56352,0.77628,0.73684,0.6785,0.35991,1.03084,0.51751,1.45339,0.002575,0.002575,0.002575
102,918.804,1.12977,0.88853,1.562,0.93837,0.84211,0.82324,0.35089,1.04164,0.55202,1.44908,0.00248577,0.00248577,0.00248577
103,928.468,1.15704,0.91177,1.59729,0.87161,0.78947,0.77245,0.3718,1.01907,0.48233,1.46038,0.00239766,0.00239766,0.00239766
104,936.242,1.05359,0.7962,1.52578,0.90925,0.73684,0.76381,0.35957,0.99915,0.47287,1.46488,0.00231071,0.00231071,0.00231071
105,945.858,1.12059,0.84761,1.56428,0.92373,0.73684,0.80774,0.36469,0.96855,0.45563,1.42005,0.00222497,0.00222497,0.00222497
106,953.803,1.02538,0.81776,1.46815,0.8699,0.73684,0.73537,0.32028,1.02733,0.49795,1.50535,0.00214046,0.00214046,0.00214046
107,963.049,1.12731,0.83863,1.56068,0.87395,0.73022,0.729,0.31944,1.09311,0.47252,1.58556,0.00205723,0.00205723,0.00205723
108,972.003,1.09643,0.79289,1.51886,0.7538,0.73684,0.72012,0.29956,1.13131,0.52229,1.59225,0.00197532,0.00197532,0.00197532
109,980.625,1.03882,0.81372,1.49417,0.87963,0.78947,0.76067,0.33003,1.09413,0.46463,1.53734,0.00189475,0.00189475,0.00189475
110,990.124,1.02134,0.7708,1.47288,0.94567,0.94737,0.90079,0.30707,1.07344,0.41276,1.49523,0.00181557,0.00181557,0.00181557
111,998.012,1.0829,0.82738,1.4862,0.88468,0.84211,0.79722,0.34122,1.04602,0.37762,1.48608,0.0017378,0.0017378,0.0017378
112,1007.64,1.08872,0.81799,1.53967,0.88604,0.84211,0.84516,0.35047,1.05383,0.43572,1.52562,0.00166149,0.00166149,0.00166149
113,1015.73,1.06092,0.7942,1.49373,0.93857,0.89474,0.87722,0.35028,1.02338,0.43841,1.48448,0.00158667,0.00158667,0.00158667
114,1025.26,1.08258,0.86299,1.5038,0.90533,0.78947,0.82362,0.37461,1.00182,0.40497,1.44095,0.00151336,0.00151336,0.00151336
115,1033.53,1.01837,0.78857,1.46605,0.93648,0.84211,0.87254,0.38484,0.99087,0.41581,1.37073,0.00144161,0.00144161,0.00144161
116,1042.54,1.05252,0.79807,1.48881,0.93632,0.84211,0.88033,0.38899,1.00756,0.4004,1.37976,0.00137143,0.00137143,0.00137143
117,1051.83,0.99247,1.9613,1.42586,0.85603,0.73684,0.76,0.39384,0.99628,0.41831,1.39466,0.00130287,0.00130287,0.00130287
118,1060.29,1.03085,0.79198,1.48934,0.82193,0.73684,0.7567,0.38485,1.01573,0.43206,1.40351,0.00123596,0.00123596,0.00123596
119,1069.98,1.05998,0.79879,1.52489,0.87269,0.78947,0.81942,0.39072,1.01547,0.45672,1.42113,0.00117072,0.00117072,0.00117072
120,1077.65,1.07484,0.88464,1.54803,0.875,0.78947,0.80063,0.38158,1.02858,0.47135,1.47504,0.00110718,0.00110718,0.00110718
121,1087.38,1.03159,0.79302,1.49657,0.84149,0.83841,0.82964,0.40499,0.98722,0.40076,1.42357,0.00104537,0.00104537,0.00104537
122,1094.96,1.01599,0.85253,1.4643,0.88297,0.84211,0.83278,0.39842,0.99598,0.37888,1.42422,0.000985311,0.000985311,0.000985311
123,1104.8,1.01622,0.7993,1.43651,0.89218,0.89474,0.87149,0.39417,0.99913,0.39207,1.42654,0.00092704,0.00092704,0.00092704
124,1113.49,1.03638,0.80428,1.48959,0.84089,0.83479,0.78386,0.3909,1.01482,0.4251,1.44631,0.000870577,0.000870577,0.000870577
125,1123.02,0.9779,0.76739,1.44018,0.80896,0.73684,0.77325,0.37935,1.03981,0.46003,1.47149,0.000815947,0.000815947,0.000815947
126,1131.96,0.9325,0.73301,1.42717,0.76725,0.89474,0.84433,0.32587,1.05508,0.44923,1.4567,0.000763174,0.000763174,0.000763174
127,1140.49,1.0693,0.8097,1.53085,0.81747,0.94737,0.92015,0.3241,1.06121,0.45445,1.48406,0.000712282,0.000712282,0.000712282
128,1150.35,0.99735,0.79439,1.44787,0.76837,0.89474,0.86171,0.37698,1.03297,0.4341,1.4746,0.000663292,0.000663292,0.000663292
129,1158.35,1.01313,0.7719,1.4562,0.88224,0.78869,0.85919,0.38761,1.00774,0.41832,1.45229,0.000616227,0.000616227,0.000616227
130,1167.94,1.01473,0.83084,1.45803,0.76574,0.89474,0.8308,0.37241,0.98431,0.42219,1.42547,0.000571106,0.000571106,0.000571106
131,1175.82,1.02442,0.73747,1.50305,0.76764,0.89474,0.87917,0.38815,0.99562,0.4389,1.41461,0.00052795,0.00052795,0.00052795
132,1185.1,1.01388,0.76478,1.46996,0.7124,0.84211,0.81809,0.38306,1.00738,0.44626,1.41107,0.000486777,0.000486777,0.000486777
133,1193.69,0.98619,0.76096,1.45884,0.76419,0.89474,0.86081,0.3742,1.00979,0.463,1.40641,0.000447606,0.000447606,0.000447606
134,1202.55,1.0385,0.7611,1.52735,0.76827,0.89474,0.858,0.37779,1.00553,0.4594,1.41284,0.000410454,0.000410454,0.000410454
135,1212.14,0.97079,0.70012,1.45292,0.68254,0.78947,0.72718,0.36841,1.0142,0.4572,1.43297,0.000375337,0.000375337,0.000375337
136,1220.03,0.95789,0.76948,1.44443,0.67765,0.78947,0.70068,0.35477,1.03953,0.47544,1.49919,0.00034227,0.00034227,0.00034227
137,1229.74,0.97904,0.74214,1.39519,0.67769,0.78947,0.68311,0.34022,1.05587,0.49187,1.51354,0.000311268,0.000311268,0.000311268
138,1237.53,0.95836,0.72638,1.43205,0.64726,0.78947,0.67136,0.33349,1.04767,0.4944,1.49232,0.000282345,0.000282345,0.000282345
139,1247.28,1.02539,0.77086,1.4811,0.65191,0.78947,0.7103,0.36659,1.04411,0.48913,1.48106,0.000255513,0.000255513,0.000255513
140,1255.92,0.93743,0.75156,1.43099,0.64426,0.78947,0.7118,0.37477,1.03771,0.47738,1.45642,0.000230784,0.000230784,0.000230784
141,1268.2,0.86278,0.65217,1.55918,0.8806,0.57895,0.68725,0.35046,1.06339,0.53646,1.48397,0.000208169,0.000208169,0.000208169
142,1277.85,0.81469,0.62191,1.53211,0.87264,0.57895,0.7027,0.33915,1.0809,0.57558,1.50566,0.000187678,0.000187678,0.000187678
143,1285.35,0.6936,0.89039,1.38495,1,0.65748,0.80739,0.32246,1.08974,0.62006,1.52079,0.00016932,0.00016932,0.00016932
144,1294.23,0.74866,0.56993,1.51013,0.94319,0.63158,0.81009,0.31174,1.08036,0.59196,1.52543,0.000153102,0.000153102,0.000153102
145,1301.7,0.70892,0.68399,1.39052,0.8505,0.57895,0.69211,0.29827,1.06835,0.58912,1.52749,0.000139032,0.000139032,0.000139032
146,1310.73,0.76816,0.541,1.46529,0.60956,0.78947,0.7095,0.30696,1.05179,0.54455,1.51982,0.000127117,0.000127117,0.000127117
147,1318.31,0.83196,0.53959,1.53124,0.69989,0.73649,0.71367,0.30423,1.04295,0.5447,1.51973,0.00011736,0.00011736,0.00011736
148,1327.54,0.78797,0.51517,1.49574,0.70114,0.78947,0.72638,0.31116,1.04098,0.53924,1.53373,0.000109768,0.000109768,0.000109768
149,1334.98,0.76385,0.52125,1.51624,0.67051,0.78947,0.73078,0.31889,1.04223,0.5416,1.53549,0.000104342,0.000104342,0.000104342
150,1343.97,0.69836,0.95514,1.39543,0.69065,0.82307,0.74613,0.32054,1.04407,0.54251,1.53446,0.000101086,0.000101086,0.000101086
